COUNTY,POPULATION,REGION
ADAMS,20495,S
ASHLAND,15863,N
BARRON,45880,W
BAYFIELD,15204,N
BROWN,260329,NE
BUFFALO,13509,W
BURNETT,15447,W
CALUMET,51476,NE
CHIPPEWA,64220,W
CLARK,34741,W
COLUMBIA,57128,S
CRAWFORD,16555,S
DANE,528496,S
DODGE,89205,S
DOOR,28051,NE
DOUGLAS,43874,W
DUNN,44777,W
EAU CLAIRE,102893,W
FLORENCE,4421,N
FOND DU LAC,103373,NE
FOREST,9182,N
GRANT,52374,S
GREEN,36864,S
GREEN LAKE,19088,NE
IOWA,23799,S
IRON,5844,N
JACKSON,20664,W
JEFFERSON,84675,SE
JUNEAU,26908,S
KENOSHA,168231,SE
KEWAUNEE,20644,NE
LA CROSSE,118333,W
LAFAYETTE,16883,S
LANGLADE,19777,N
LINCOLN,28442,N
MANITOWOC,80254,NE
MARATHON,134741,N
MARINETTE,40938,NE
MARQUETTE,15378,NE
MENOMINEE,4382,NE
MILWAUKEE,944479,SE
MONROE,45998,W
OCONTO,37962,NE
ONEIDA,35913,N
OUTAGAMIE,183800,NE
OZAUKEE,88360,SE
PEPIN,7349,W
PIERCE,41635,W
POLK,43900,W
PORTAGE,70719,N
PRICE,13808,N
RACINE,195230,SE
RICHLAND,17712,S
ROCK,160265,S
RUSK,14534,W
ST. CROIX,88169,W
SAUK,62686,S
SAWYER,16569,N
SHAWANO,41260,NE
SHEBOYGAN,114515,NE
TAYLOR,20580,N
TREMPEALEAU,29332,W
VERNON,30287,S
VILAS,21656,N
WALWORTH,102615,SE
WASHBURN,15853,W
WASHINGTON,134486,SE
WAUKESHA,398642,SE
WAUPACA,51731,NE
WAUSHARA,24298,NE
WINNEBAGO,169344,NE
WOOD,74026,N
